"State","Year","under19_pop_prct","white_pop_prct"
"GA",1999,0.29498363465414,0.684020872574017
"GA",2000,0.294504164973625,0.680027100010781
"GA",2001,0.293691994712212,0.676664472573719
"GA",2002,0.293114358571251,0.673158518032368
"GA",2003,0.29297444575093,0.669920523431329
"GA",2004,0.292273845021217,0.666120325884123
"GA",2005,0.292473203328463,0.662273992535449
"GA",2006,0.291573451751363,0.656902887815642
"GA",2007,0.29187727299757,0.652618163788018
"GA",2008,0.290777659346925,0.648713082372849
"GA",2009,0.288668376980569,0.644868445041112
"GA",2010,0.286287486430281,0.641607532052751
"GA",2011,0.283075800278523,0.638241166910535
"GA",2012,0.279879774941599,0.635334088106465
"GA",2013,0.277288525751721,0.632105417319004
"GA",2014,0.274817383606572,0.628822209935993
"GA",2015,0.272704961768726,0.625431856156445
"GA",2016,0.270751677604789,0.621801727644151
"GA",2017,0.268565549795251,0.618475302896258
"GA",2018,0.266296557430404,0.615398000462557
"GA",2019,0.263876554602751,0.612342844398306
"HI",1990,0.279090715596264,0.338965469860107
"HI",1991,0.280252367706645,0.337198725493818
"HI",1992,0.28173773296174,0.334166801166567
"HI",1993,0.283490132482065,0.328371011171193
"HI",1994,0.284815786637205,0.323341776586141
"HI",1995,0.284890220528151,0.318369659123001
"HI",1996,0.284145860245648,0.313216559848142
"HI",1997,0.28079792677693,0.308395232907464
"HI",1998,0.276449865992777,0.30408324987883
"HI",1999,0.273527224655044,0.299700900603156
"HI",2000,0.269373615081428,0.295784408814366
"HI",2001,0.266494174304294,0.298165175031894
"HI",2002,0.263539507894803,0.299917796925331
"HI",2003,0.261613678252238,0.300127722086969
"HI",2004,0.259940372292353,0.300739889240395
"HI",2005,0.256144172521851,0.302913448990469
"HI",2006,0.25407049233774,0.304769452658599
"HI",2007,0.25348129287248,0.302409029585574
"HI",2008,0.251586645679032,0.303085917942551
"HI",2009,0.250678501867876,0.302092421793146
"HI",2010,0.248064646914909,0.301912881801046
"HI",2011,0.245826775192866,0.301947541159506
"HI",2012,0.243717396852891,0.303019635733766
"HI",2013,0.241892201843006,0.305283250120895
"HI",2014,0.239555953958112,0.306180533856284
"HI",2015,0.238227575362926,0.307008463825514
"HI",2016,0.236446269471174,0.306770508259203
"HI",2017,0.235578242802373,0.305666343488068
"HI",2018,0.234380290484326,0.304482001530347
"HI",2019,0.233136893730507,0.302656596076481
"IA",1990,0.289744978277739,0.97113790705418
"IA",1991,0.287202339994846,0.970026590525566
"IA",1992,0.2841614802152,0.968934512867403
"IA",1993,0.284249544937349,0.967763869364943
"IA",1994,0.284129838294959,0.966662410470803
"IA",1995,0.282993876276299,0.965693336723196
"IA",1996,0.283629513888889,0.964738541666667
"IA",1997,0.283620632703116,0.963960667132692
"IA",1998,0.283776894055267,0.963132718218371
"IA",1999,0.283738810282578,0.961898579465416
"IA",2000,0.282657924861398,0.958404160778842
"IA",2001,0.281294967218589,0.956971647651754
"IA",2002,0.278627744072218,0.955454132151696
"IA",2003,0.276648292538509,0.953774627387705
"IA",2004,0.274994709908299,0.952055010182368
"IA",2005,0.273153167497286,0.950250872504684
"IA",2006,0.272302695192588,0.948255306365761
"IA",2007,0.271682695321304,0.946092506965163
"IA",2008,0.2713702964862,0.944040144076342
"IA",2009,0.270503846191891,0.94183265355917
"IA",2010,0.269101481769207,0.939572137297611
"IA",2011,0.267486994249815,0.937014730283961
"IA",2012,0.265594127800949,0.934806692694534
"IA",2013,0.264537598969543,0.931505591502352
"IA",2014,0.263791146059466,0.928248669336035
"IA",2015,0.263021954783144,0.925640828463037
"IA",2016,0.262348345181711,0.923024770938991
"IA",2017,0.261596345752893,0.920100905603922
"IA",2018,0.260161442258159,0.918120584967754
"IA",2019,0.258737524048595,0.916491551692989
"ID",1990,0.341571972690205,0.973100128014666
"ID",1991,0.335511026431938,0.972972661516773
"ID",1992,0.334327717566262,0.972669207836258
"ID",1993,0.333318602268464,0.972195265375624
"ID",1994,0.33360549801771,0.9723326405505
"ID",1995,0.33067419108791,0.971746896770807
"ID",1996,0.328874233947284,0.97137853331815
"ID",1997,0.326299938136945,0.970710285546837
"ID",1998,0.324808157594244,0.96966374677601
"ID",1999,0.322559682175854,0.968906632885831
"ID",2000,0.319770206936888,0.966270595568826
"ID",2001,0.317395500779568,0.964955051736338
"ID",2002,0.314483591122464,0.963865255317181
"ID",2003,0.31134166556646,0.962733060482037
"ID",2004,0.308851402713892,0.961616666738516
"ID",2005,0.307532132182174,0.960127877578084
"ID",2006,0.306011088951969,0.959001653878444
"ID",2007,0.305929486647111,0.957573724092339
"ID",2008,0.305556859064602,0.956608139110485
"ID",2009,0.304175332708456,0.955434725968661
"ID",2010,0.302457558383087,0.954653393992409
"ID",2011,0.299155886382433,0.953368562607724
"ID",2012,0.296016357805687,0.952612133961502
"ID",2013,0.293461543713219,0.951679673486817
"ID",2014,0.291460672228517,0.95075384155104
"ID",2015,0.28956263828246,0.949393086497818
"ID",2016,0.287237722749914,0.948020066810114
"ID",2017,0.284681684679938,0.947302084455221
"ID",2018,0.28118187800765,0.946857419670318
"ID",2019,0.277646867909114,0.946290146133465
"IL",1990,0.287530528276702,0.822668299730838
"IL",1991,0.28700002869747,0.820617040557823
"IL",1992,0.286617689613914,0.81836329922635
"IL",1993,0.286522406937622,0.815998436523436
"IL",1994,0.28793246805794,0.813994695525782
"IL",1995,0.289597971825975,0.812162315545312
"IL",1996,0.29127275440574,0.810497143570602
"IL",1997,0.292054836339107,0.808792426213809
"IL",1998,0.291438444433018,0.807173687872738
"IL",1999,0.291213219171099,0.805222825110729
"IL",2000,0.290035411315649,0.803257654456943
"IL",2001,0.288521909653284,0.801981271487363
"IL",2002,0.28694845961329,0.800629848287773
