"State","Year","educ_spending","governor","house","senate"
"TN","2010",5413.679688,-1,1,1
"TN","2011",5530.253906,1,1,1
"TN","2012",5307.383301,1,1,1
"TN","2013",5226.244141,1,1,1
"TX","1997",4341.945801,1,-1,1
"TX","1998",4538.526367,1,-1,1
"TX","1999",4688.557129,1,-1,1
"TX","2000",5020.259277,1,-1,1
"TX","2001",5156.778809,1,-1,1
"TX","2002",5314.412109,1,-1,1
"TX","2003",5449.042969,1,1,1
"TX","2004",5546.827637,1,1,1
"TX","2005",5451.114746,1,1,1
"TX","2006",5446.616211,1,1,1
"TX","2007",5535.186523,1,1,1
"TX","2008",5777.185547,1,1,1
"TX","2009",5827.624023,1,1,1
"TX","2010",5999.240723,1,1,1
"TX","2011",5815.481934,1,1,1
"TX","2012",5437.475586,1,1,1
"TX","2013",5399.052734,1,1,1
"UT","1997",3413.328857,1,1,1
"UT","1998",3524.34082,1,1,1
"UT","1999",3665.532471,1,1,1
"UT","2000",3685.20874,1,1,1
"UT","2001",3819.232422,1,1,1
"UT","2002",3961.169678,1,1,1
"UT","2003",3933.183594,1,1,1
"UT","2004",3868.30957,1,1,1
"UT","2005",3863.612061,1,1,1
"UT","2006",3827.662109,1,1,1
"UT","2007",3831.42749,1,1,1
"UT","2008",4097.505371,1,1,1
"UT","2009",4180.576172,1,1,1
"UT","2010",3767.272949,1,1,1
"UT","2011",3972.933594,1,1,1
"UT","2012",3939.359619,1,1,1
"UT","2013",4070.455078,1,1,1
"VA","1997",4975.489746,1,-1,0
"VA","1998",5330.572266,1,0,1
"VA","1999",5432.63916,1,0,1
"VA","2000",5946.754883,1,1,1
"VA","2001",6102.477539,1,1,1
"VA","2002",6298.719727,-1,1,1
"VA","2003",6362.802246,-1,1,1
"VA","2004",6363.885254,-1,1,1
"VA","2005",6686.046387,-1,1,1
"VA","2006",6996.516602,-1,1,1
"VA","2007",7293.709961,-1,1,1
"VA","2008",7511.57666,-1,1,-1
"VA","2009",7520.175781,-1,1,-1
"VA","2010",7463.483887,1,1,-1
"VA","2011",7243.081543,1,1,-1
"VA","2012",7175.366211,1,1,1
"VA","2013",7234.891602,1,1,1
"VT","1997",5629.537598,-1,-1,-1
"VT","1998",6213.875488,-1,-1,-1
"VT","1999",6744.232422,-1,-1,-1
"VT","2000",7202.900879,-1,-1,-1
"VT","2001",7179.418457,-1,1,-1
"VT","2002",7251.902344,-1,1,-1
"VT","2003",8036.603027,1,1,-1
"VT","2004",8774.416016,1,1,-1
"VT","2005",9131.053711,1,-1,-1
"VT","2006",9313.338867,1,-1,-1
"VT","2007",9652.619141,1,-1,-1
"VT","2008",10015.78418,1,-1,-1
"VT","2009",10555.70898,1,-1,-1
"VT","2010",10934.58984,1,-1,-1
"VT","2011",10876.20605,-1,-1,-1
"VT","2012",11032.84473,-1,-1,-1
"VT","2013",11287.83594,-1,-1,-1
"WA","1997",4903.529297,-1,1,1
"WA","1998",5099.080078,-1,1,1
"WA","1999",5158.33252,-1,0,-1
"WA","2000",5278.878418,-1,0,-1
"WA","2001",5374.083984,-1,0,-1
"WA","2002",5500.242676,-1,-1,-1
"WA","2003",5567.215332,-1,-1,1
"WA","2004",5574.315918,-1,-1,1
"WA","2005",5626.068359,-1,-1,-1
"WA","2006",5643.013184,-1,-1,-1
"WA","2007",5801.685547,-1,-1,-1
"WA","2008",6164.07373,-1,-1,-1
"WA","2009",6398.146973,-1,-1,-1
"WA","2010",6238.196777,-1,-1,-1
"WA","2011",6182.22168,-1,-1,-1
"WA","2012",6223.938477,-1,-1,-1
"WA","2013",6150.148438,-1,-1,1
"WI","1997",5789.640137,1,1,-1
"WI","1998",5995.477051,1,1,1
"WI","1999",6160.904785,1,1,-1
"WI","2000",6241.476563,1,1,-1
"WI","2001",6445.126465,1,1,-1
"WI","2002",6692.499023,1,1,-1
"WI","2003",6829.869629,-1,1,1
"WI","2004",6926.842773,-1,1,1
"WI","2005",6999.363281,-1,1,1
"WI","2006",7024.470215,-1,1,1
"WI","2007",7052.540039,-1,1,-1
"WI","2008",7168.843262,-1,1,-1
"WI","2009",7377.737305,-1,-1,-1
"WI","2010",7527.354492,-1,-1,-1
"WI","2011",7701.631836,1,1,1
"WI","2012",7140.076172,1,1,1
"WI","2013",7105.458496,1,1,1
"WV","1997",5570.375488,1,-1,-1
"WV","1998",5678.037598,1,-1,-1
"WV","1999",6065.442871,1,-1,-1
"WV","2000",6338.943848,1,-1,-1
"WV","2001",6412.534668,-1,-1,-1
"WV","2002",6483.22168,-1,-1,-1
"WV","2003",6568.328613,-1,-1,-1
"WV","2004",6610.413574,-1,-1,-1
"WV","2005",6666.762207,-1,-1,-1
"WV","2006",6765.057129,-1,-1,-1
"WV","2007",6800.635254,-1,-1,-1
"WV","2008",6834.639648,-1,-1,-1
"WV","2009",7253.320313,-1,-1,-1
"WV","2010",7977.217285,-1,-1,-1
"WV","2011",7943.066895,-1,-1,-1
"WV","2012",7580.57959,-1,-1,-1
"WV","2013",7324.330566,-1,-1,-1
"WY","1997",5809.872559,1,1,1
"WY","1998",5918.805664,1,1,1
"WY","1999",6399.612793,1,1,1
"WY","2000",6683.589844,1,1,1
"WY","2001",7043.739258,1,1,1
"WY","2002",7354.20166,1,1,1
"WY","2003",7533.256836,-1,1,1
"WY","2004",7617.155273,-1,1,1
"WY","2005",7832.04834,-1,1,1
"WY","2006",8415.467773,-1,1,1
"WY","2007",9360.825195,-1,1,1
"WY","2008",9480.083984,-1,1,1
"WY","2009",9733.594727,-1,1,1
"WY","2010",10162.9502,-1,1,1
"WY","2011",10462.70898,1,1,1
"WY","2012",10445.42871,1,1,1
"WY","2013",10247.96387,1,1,1
