"State","Year","under19_pop_prct","white_pop_prct","Income","income_adj","educ_spending","governor","house","senate"
"AK",1997,0.334260516046515,0.747034102922175,47990,71985,7548.493164,-1,1,1
"AK",1998,0.338179026086732,0.742913738926205,50690,74514.3,7126.733398,-1,1,1
"AK",1999,0.334079730592738,0.739544703006983,51400,74016,7616.569336,-1,1,1
"AK",2000,0.331315698536379,0.734272560644497,52850,73461.5,7729.85498,-1,1,1
"AK",2001,0.328133826931392,0.731904297522226,57360,78009.6,7947.723145,-1,1,1
"AK",2002,0.324572615309409,0.729691735023827,52770,70184.1,8204.307617,-1,1,1
"AK",2003,0.319800312763142,0.727222114266503,51840,67392,8377.128906,1,1,1
"AK",2004,0.314456851806348,0.725733596648495,55060,69926.2,8476.907227,1,1,1
"AK",2005,0.308537722694191,0.723734755137597,55890,68744.7,8799.779297,1,1,1
"AK",2006,0.304853236033656,0.722571530959482,56420,67139.8,9063.064453,1,1,1
"AK",2007,0.300815816551521,0.720877554020285,62990,73068.4,9467.491211,1,1,-1
"AK",2008,0.296803427133412,0.718541577266876,63990,71028.9,10975.70898,1,1,-1
"AK",2009,0.296694067063007,0.715224747637342,61600,68992,11693.56543,1,1,-1
"AK",2010,0.291888333263296,0.713930327352187,57850,63635,11965.5791,1,1,-1
"AK",2011,0.288522256442071,0.711177242815678,57430,61450.1,11938.80273,1,1,-1
"AK",2012,0.28389210383288,0.708088105437385,63650,66832.5,11259.58887,1,1,-1
"AK",2013,0.280868250961919,0.70483591744588,66805,68809.15,11627.92285,1,1,1
"AL",1997,0.286839662220248,0.726852162406263,31940,47910,3929.448486,1,-1,-1
"AL",1998,0.28428081724503,0.726051552647955,36270,53316.9,4163.139648,1,-1,-1
"AL",1999,0.283480142054169,0.724877154022863,36250,52200,4434.193848,-1,-1,-1
"AL",2000,0.28196276290252,0.723209992064549,35420,49233.8,4597.625488,-1,-1,-1
"AL",2001,0.279707558855537,0.721999161077206,35160,47817.6,4651.033691,-1,-1,-1
"AL",2002,0.277770151441188,0.720903535621725,37600,50008,4741.522949,-1,-1,-1
"AL",2003,0.27593016173453,0.719849556710561,37260,48438,4830.528809,1,-1,-1
"AL",2004,0.274756446479143,0.718606431768486,36630,46520.1,4878.824707,1,-1,-1
"AL",2005,0.273244044330119,0.717546591156515,37150,45694.5,5064.419922,1,-1,-1
"AL",2006,0.27212749415044,0.71595886870134,37950,45160.5,5407.318359,1,-1,-1
"AL",2007,0.271355107386514,0.71490421242756,42210,48963.6,5830.137695,1,-1,-1
"AL",2008,0.270570424436746,0.713520350743482,44480,49372.8,6209.24707,1,-1,-1
"AL",2009,0.268805310199502,0.712325801639282,39980,44777.6,6106.866211,1,-1,-1
"AL",2010,0.265899227176118,0.711085319898684,40930,45023,6029.245117,1,-1,-1
"AL",2011,0.262316711845568,0.710107314564554,42590,45571.3,5976.07373,1,1,1
"AL",2012,0.259258474769852,0.70832783037087,43460,45633,5651.526855,1,1,1
"AL",2013,0.256620955217935,0.706681730596236,44350,45680.5,5737.530762,1,1,1
"AR",1997,0.291026838748371,0.826252071247054,26160,39240,3891.274902,1,-1,-1
"AR",1998,0.290401018319005,0.825544713472127,27670,40674.9,4140.826172,1,-1,-1
"AR",1999,0.287498208804386,0.825060146463237,29680,42739.2,4288.74707,1,-1,-1
"AR",2000,0.284024269503186,0.823849356451981,29700,41283,4398.520508,1,-1,-1
"AR",2001,0.281203431007393,0.822811659064539,33340,45342.4,4542.166016,1,-1,-1
"AR",2002,0.27922926228239,0.821942720553806,32390,43078.7,4707.26416,1,-1,-1
"AR",2003,0.277790133352124,0.821129573519827,32000,41600,4905.808105,1,-1,-1
"AR",2004,0.276825062934459,0.820219108654588,34980,44424.6,5048.827637,1,-1,-1
"AR",2005,0.276064085502951,0.819459731178021,36660,45091.8,5509.26709,1,-1,-1
"AR",2006,0.275234507812674,0.818088066282013,37060,44101.4,5643.917969,1,-1,-1
"AR",2007,0.274865989152757,0.817563407227985,40800,47328,5740.854492,-1,-1,-1
"AR",2008,0.274336470979498,0.816420912600703,39590,43944.9,5779.647949,-1,-1,-1
"AR",2009,0.273574025240581,0.815226092680894,36540,40924.8,6204.616211,-1,-1,-1
"AR",2010,0.272288091160603,0.813783126691499,38590,42449,6552.055176,-1,-1,-1
"AR",2011,0.269720440974786,0.812695895182964,41300,44191,6621.975098,-1,-1,-1
"AR",2012,0.267754433696773,0.811407496331505,39020,40971,5965.568359,-1,-1,-1
"AR",2013,0.265992430898155,0.810377441373251,39650,40839.5,5888.413086,-1,1,1
"AZ",1997,0.289283279044288,0.888289187859801,32740,49110,3706.679443,1,1,1
"AZ",1998,0.292264191203483,0.888225317825375,37090,54522.3,3715.615234,1,1,1
"AZ",1999,0.29467837541251,0.887885978466996,37000,53280,3810.457031,1,1,1
"AZ",2000,0.29567223567246,0.887285862497011,39780,55294.2,3937.627441,1,1,1
"AZ",2001,0.293286194288891,0.885430807795312,42700,58072,4002.365479,1,1,0
"AZ",2002,0.291989351874587,0.883256814216526,39730,52840.9,4070.696289,1,1,0
"AZ",2003,0.291509780479112,0.88097955053423,41170,53521,4268.263184,-1,1,1
"AZ",2004,0.290841029763619,0.878529560165905,43850,55689.5,4411.797852,-1,1,1
"AZ",2005,0.2900703313212,0.875479463620706,45250,55657.5,4430.023926,-1,1,1
"AZ",2006,0.289483195035578,0.871679398441669,46660,55525.4,4514.059082,-1,1,1
"AZ",2007,0.289428555076049,0.868139094742416,47220,54775.2,4610.432129,-1,1,1
"AZ",2008,0.288967419393978,0.864592518711501,46910,52070.1,4800.46582,-1,1,1
"AZ",2009,0.28658992040868,0.861408535879785,45740,51228.8,4860.037598,1,1,1
"AZ",2010,0.283359647594914,0.859049983362394,46900,51590,4727.07666,1,1,1
"AZ",2011,0.278226838711791,0.856731477388758,48620,52023.4,4489.205078,1,1,1
"AZ",2012,0.274581547031889,0.854412173465723,47040,49392,4328.549316,1,1,1
"AZ",2013,0.271487271369824,0.852098461516195,51605,53153.15,4080.330811,1,1,1
"CA",1997,0.307381762180089,0.79403647908746,39690,59535,4282.324707,1,-1,-1
"CA",1998,0.305226391371929,0.792468399182422,40930,60167.1,4652.521973,1,-1,-1
"CA",1999,0.303351745313113,0.790837716621565,43630,62827.2,4847.541504,-1,-1,-1
"CA",2000,0.301751528194808,0.788856012230443,46820,65079.8,5117.807617,-1,-1,-1
"CA",2001,0.29913115223563,0.785922562935879,47260,64273.6,5559.020996,-1,-1,-1
"CA",2002,0.296941661500369,0.783125170642687,47440,63095.2,6028.86084,-1,-1,-1
"CA",2003,0.295225202371226,0.78039933953153,49300,64090,6108.567871,-1,-1,-1
"CA",2004,0.293572718899025,0.777624644071654,49220,62509.4,6169.309082,1,-1,-1
"CA",2005,0.291436016854219,0.774434496560408,51760,63664.8,6209.083496,1,-1,-1
"CA",2006,0.28944964135289,0.771034320287257,55320,65830.8,6300.954102,1,-1,-1
"CA",2007,0.287419685861454,0.767781992270356,55730,64646.8,6640.994141,1,-1,-1
"CA",2008,0.285448907324834,0.764672940258418,57010,63281.1,6817.605469,1,-1,-1
"CA",2009,0.282757372597107,0.761541506100893,56130,62865.6,6663.09668,1,-1,-1
"CA",2010,0.279401423952549,0.758767895670205,54280,59708,6376.719238,1,-1,-1
"CA",2011,0.275089045436586,0.757083177541514,53370,57105.9,6158.283691,-1,-1,-1
"CA",2012,0.271098111139219,0.755414663968294,57020,59871,6191.021973,-1,-1,-1
"CA",2013,0.267617129778329,0.753412991740081,59160,60934.8,6117.38623,-1,-1,-1
"CO",1997,0.283540299326107,0.922254549382039,43230,64845,4380.313477,-1,1,1
"CO",1998,0.285498194036446,0.92040375655966,46600,68502,4640.418945,-1,1,1
"CO",1999,0.285114734485277,0.918808438582136,48180,69379.2,4762.376953,1,1,1
"CO",2000,0.284554074363733,0.91610801306518,48240,67053.6,4838.380371,1,1,1
"CO",2001,0.283984610750828,0.914238399597622,49400,67184,5014.390625,1,1,-1
"CO",2002,0.282694482414285,0.912556013866007,48290,64225.7,5255.67041,1,1,-1
"CO",2003,0.281851078845028,0.911431720843715,49940,64922,5413.59668,1,1,1
"CO",2004,0.279556364102135,0.909495120560313,50890,64630.3,5558.849609,1,1,1
"CO",2005,0.278397059687108,0.908171354747783,50450,62053.5,5628.645996,1,-1,-1
"CO",2006,0.276575001858944,0.906373009368016,55700,66283,5736.044922,1,-1,-1
"CO",2007,0.275495704711287,0.904788807685806,61140,70922.4,5648.052246,-1,-1,-1
"CO",2008,0.274265859260123,0.902816106410783,60940,67643.4,6077.263672,-1,-1,-1
"CO",2009,0.272879482803872,0.900721914566907,55930,62641.6,5839.800781,-1,-1,-1
"CO",2010,0.270775014765177,0.89834584452155,60230,66253,5914.601074,-1,-1,-1
